CohortMonth,MonthIndex,Retention,RetentionPct
2009-12,0,1.0,100.0
2010-01,0,1.0,100.0
2010-02,0,1.0,100.0
2010-03,0,1.0,100.0
2010-04,0,1.0,100.0
2010-05,0,1.0,100.0
2010-06,0,1.0,100.0
2010-07,0,1.0,100.0
2010-08,0,1.0,100.0
2010-09,0,1.0,100.0
2010-10,0,1.0,100.0
2010-11,0,1.0,100.0
2010-12,0,1.0,100.0
2011-01,0,1.0,100.0
2011-02,0,1.0,100.0
2011-03,0,1.0,100.0
2011-04,0,1.0,100.0
2011-05,0,1.0,100.0
2011-06,0,1.0,100.0
2011-07,0,1.0,100.0
2011-08,0,1.0,100.0
2011-09,0,1.0,100.0
2011-10,0,1.0,100.0
2011-11,0,1.0,100.0
2011-12,0,1.0,100.0
2009-12,1,0.35287958115183243,35.29
2010-01,1,0.206266318537859,20.63
2010-02,1,0.23796791443850268,23.8
2010-03,1,0.18961625282167044,18.96
2010-04,1,0.19387755102040816,19.39
2010-05,1,0.15748031496062992,15.75
2010-06,1,0.17407407407407408,17.41
2010-07,1,0.15591397849462366,15.59
2010-08,1,0.2037037037037037,20.37
2010-09,1,0.22633744855967078,22.63
2010-10,1,0.2572944297082228,25.73
2010-11,1,0.1753846153846154,17.54
2010-12,1,0.09210526315789473,9.21
2011-01,1,0.16901408450704225,16.9
2011-02,1,0.16129032258064516,16.13
2011-03,1,0.18435754189944134,18.44
2011-04,1,0.25471698113207547,25.47
2011-05,1,0.23423423423423423,23.42
2011-06,1,0.23148148148148148,23.15
2011-07,1,0.21568627450980393,21.57
2011-08,1,0.27358490566037735,27.36
2011-09,1,0.2698412698412698,26.98
2011-10,1,0.3212669683257919,32.13
2011-11,1,0.14136125654450263,14.14
2011-12,1,,
2009-12,2,0.33403141361256544,33.4
2010-01,2,0.31070496083550914,31.07
2010-02,2,0.22459893048128343,22.46
2010-03,2,0.23024830699774265,23.02
2010-04,2,0.19387755102040816,19.39
2010-05,2,0.16929133858267717,16.93
2010-06,2,0.18888888888888888,18.89
2010-07,2,0.1827956989247312,18.28
2010-08,2,0.2962962962962963,29.63
2010-09,2,0.2345679012345679,23.46
2010-10,2,0.14588859416445624,14.59
2010-11,2,0.09230769230769231,9.23
2010-12,2,0.05263157894736842,5.26
2011-01,2,0.2112676056338028,21.13
2011-02,2,0.1532258064516129,15.32
2011-03,2,0.21787709497206703,21.79
2011-04,2,0.19811320754716982,19.81
2011-05,2,0.24324324324324326,24.32
2011-06,2,0.21296296296296297,21.3
2011-07,2,0.30392156862745096,30.39
2011-08,2,0.3113207547169811,31.13
2011-09,2,0.37566137566137564,37.57
2011-10,2,0.1583710407239819,15.84
2011-11,2,,
2011-12,2,,
2009-12,3,0.42513089005235605,42.51
2010-01,3,0.30548302872062666,30.55
2010-02,3,0.2914438502673797,29.14
2010-03,3,0.24153498871331827,24.15
2010-04,3,0.16326530612244897,16.33
2010-05,3,0.1732283464566929,17.32
2010-06,3,0.2037037037037037,20.37
2010-07,3,0.2956989247311828,29.57
2010-08,3,0.32098765432098764,32.1
2010-09,3,0.12345679012345678,12.35
2010-10,3,0.1246684350132626,12.47
2010-11,3,0.09538461538461539,9.54
2010-12,3,0.09210526315789473,9.21
2011-01,3,0.19718309859154928,19.72
2011-02,3,0.18548387096774194,18.55
2011-03,3,0.2011173184357542,20.11
2011-04,3,0.19811320754716982,19.81
2011-05,3,0.16216216216216217,16.22
2011-06,3,0.26851851851851855,26.85
2011-07,3,0.27450980392156865,27.45
2011-08,3,0.2641509433962264,26.42
2011-09,3,0.14814814814814814,14.81
2011-10,3,,
2011-11,3,,
2011-12,3,,
2009-12,4,0.38010471204188484,38.01
2010-01,4,0.26370757180156656,26.37
2010-02,4,0.24598930481283424,24.6
2010-03,4,0.2325056433408578,23.25
2010-04,4,0.1836734693877551,18.37
2010-05,4,0.17716535433070865,17.72
2010-06,4,0.22962962962962963,22.96
2010-07,4,0.2903225806451613,29.03
2010-08,4,0.1728395061728395,17.28
2010-09,4,0.09053497942386832,9.05
2010-10,4,0.08753315649867374,8.75
2010-11,4,0.07692307692307693,7.69
2010-12,4,0.11842105263157894,11.84
2011-01,4,0.2112676056338028,21.13
2011-02,4,0.21774193548387097,21.77
2011-03,4,0.22346368715083798,22.35
2011-04,4,0.1792452830188679,17.92
2011-05,4,0.21621621621621623,21.62
2011-06,4,0.2037037037037037,20.37
